,states,value,fed_r,sta_r,local_r,ins_ex,sup_ex,oth_ex,cap_ex,maleAM,maleAS,maleHI,maleBL,maleWH,maleHP,maleTR,femaleAM,femaleAS,femaleHI,femaleBL,femaleWH,femaleHP,femaleTR,math,read
12,Idaho,274131.0,232449.0,1381205.0,554313.0,1130814.0,663005.0,108684.0,75680.0,1906.0,1593.0,24495.0,1443.0,106449.0,453.0,3262.0,1844.0,1780.0,23224.0,1356.0,99912.0,407.0,3079.0,283.742325345327,262.268605314622
13,Illinois,2047123.0,2262192.0,11858968.0,17975672.0,17313173.0,10279691.0,992075.0,2056951.0,2643.0,45540.0,248993.0,167425.0,482635.0,972.0,31053.0,2503.0,44121.0,237680.0,163005.0,448790.0,952.0,29539.0,281.968567276813,257.35043981355
14,Indiana,1004215.0,929878.0,7676341.0,3850352.0,5537406.0,3712136.0,547516.0,948358.0,1064.0,10121.0,54611.0,60972.0,346771.0,329.0,22846.0,1075.0,10514.0,52620.0,58853.0,326499.0,320.0,22136.0,287.175201077669,268.553479550783
15,Iowa,505311.0,458457.0,3460798.0,2795155.0,3383909.0,1912222.0,262267.0,842674.0,891.0,5664.0,24455.0,13682.0,187770.0,516.0,8363.0,862.0,5526.0,23430.0,12698.0,176336.0,475.0,8128.0,286.41621998599,266.806728332711
16,Kansas,496920.0,475273.0,3967809.0,1548649.0,3051755.0,1692953.0,250584.0,963767.0,2156.0,6246.0,44579.0,16392.0,152902.0,411.0,11290.0,2072.0,6181.0,42127.0,15380.0,142740.0,364.0,11088.0,283.871096311731,268.25346768003504
17,Kentucky,688475.0,848963.0,4176753.0,2523155.0,3807748.0,2417226.0,468694.0,600859.0,384.0,4908.0,19377.0,34610.0,257339.0,328.0,10535.0,385.0,5229.0,18048.0,33020.0,241687.0,316.0,10474.0,277.947260135803,268.200596266662
18,Louisiana,661015.0,1235580.0,3480365.0,3732798.0,4100906.0,2774314.0,416066.0,780338.0,2409.0,5181.0,19867.0,149538.0,156113.0,295.0,6528.0,2206.0,4975.0,18792.0,144966.0,147385.0,270.0,6470.0,268.432355132751,266.76553060986
19,Maine,176176.0,183883.0,1060925.0,1494781.0,1406898.0,910381.0,109541.0,55686.0,748.0,1176.0,1672.0,2872.0,78786.0,86.0,1664.0,667.0,1340.0,1702.0,2691.0,73596.0,92.0,1686.0,284.875476957911,267.772900145423
20,Maryland,874108.0,819162.0,6267624.0,7404856.0,7686024.0,4358416.0,386104.0,1050651.0,1166.0,26318.0,64520.0,143616.0,164213.0,604.0,17546.0,1151.0,25117.0,60157.0,137494.0,154982.0,542.0,17245.0,283.149034098785,255.46941777756905
21,Massachusetts,916130.0,778939.0,6808436.0,9397810.0,9774884.0,5043032.0,497880.0,1034539.0,1037.0,28921.0,84860.0,40471.0,290161.0,421.0,14311.0,1022.0,28365.0,79592.0,37962.0,273799.0,431.0,14078.0,296.908571436848,268.391236298695
22,Michigan,1345009.0,1582706.0,10510346.0,6932944.0,9040821.0,5839572.0,831874.0,967476.0,4968.0,22296.0,53321.0,131873.0,491996.0,600.0,23800.0,4618.0,22320.0,50891.0,126289.0,462336.0,631.0,23244.0,278.168651923457,267.905529723763
23,Minnesota,807044.0,629909.0,7567199.0,3487141.0,6257807.0,2933999.0,893322.0,1328863.0,6986.0,26465.0,35905.0,42519.0,284182.0,267.0,16017.0,6498.0,25666.0,33802.0,39818.0,266870.0,271.0,15527.0,294.147777973073,274.497568115749
24,Mississippi,490189.0,672366.0,2324855.0,1595122.0,2350872.0,1525340.0,285117.0,407791.0,512.0,2316.0,7710.0,109834.0,101186.0,104.0,2498.0,518.0,2280.0,7169.0,107906.0,97044.0,105.0,2551.0,270.580479347121,264.496755061626
25,Missouri,892779.0,948600.0,4441091.0,5233700.0,5387766.0,3266781.0,615166.0,869078.0,1768.0,8150.0,25525.0,70188.0,318964.0,966.0,13590.0,1707.0,8365.0,24242.0,67309.0,297209.0,975.0,13150.0,280.821425670635,270.23681775626204
26,Montana,144447.0,214980.0,851068.0,738291.0,940488.0,581694.0,80426.0,160885.0,7773.0,510.0,3072.0,642.0,54726.0,162.0,2028.0,7418.0,611.0,2913.0,563.0,51251.0,140.0,2008.0,287.464005517244,251.97616520927798
27,Nebraska,312281.0,344382.0,1350116.0,2554197.0,2446701.0,1102622.0,183067.0,449287.0,2108.0,3800.0,27301.0,10128.0,102756.0,205.0,5014.0,1953.0,3613.0,25500.0,9476.0,95579.0,200.0,5007.0,286.49856348622797,266.876351831946
28,Nevada,438948.0,395630.0,2744606.0,1205183.0,2170424.0,1459504.0,174388.0,205794.0,2106.0,12460.0,92026.0,23468.0,76412.0,3097.0,13105.0,2030.0,11638.0,87839.0,21706.0,70748.0,2963.0,12594.0,275.171868843271,269.956777592733
29,New Hampshire,183039.0,164905.0,1000063.0,1928093.0,1697165.0,938368.0,75581.0,125475.0,257.0,2654.0,4411.0,1702.0,77142.0,74.0,2341.0,228.0,2792.0,3973.0,1590.0,71691.0,73.0,2292.0,294.413018726344,269.426210864772
